Card Type,Count,Txn.Amount,Com.Amount,Net Amount,Cback Amount,Vat Amount
Total,,320.000,4.160,315.424,0.000,0.416
Visa,,0.000,0.000,0.000,0.000,0.000
Visa Dcc,,0.000,0.000,0.000,0.000,0.000
Master,2,4.160,0.416,315.424,0.000,
Master Dcc,0,0.000,0.000,0.000,0.000,0.000
Benefit,0,0.000,0.000,0.000,0.000,0.000
Maestro,0,0.000,0.000,0.000,0.000,0.000
Others,0,0.000,0.000,0.000,0.000,0.000
Total,2,320.000,4.160,315.424,0.000,0.416
Master,,320.000,4.160,315.424,0.000,0.416
Sub-Total,2,320.000,4.160,315.424,0.000,0.416
Others,,0.000,0.000,0.000,0.000,0.000
Sub-Total,,0.000,0.000,0.000,0.000,0.000
